category/id,title,title_pt,original_description,xml_line,data_type,api_to_encoded_values,routes,status
03/5A,,,Trip Computerの表示単位切替,3325,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 80, ""menu"": 19}]",metadata_present
03/5B,,,メータ表示コンフィグレーション設定,3348,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 80, ""menu"": 21}]",metadata_present
03/5C,Tachometer,Conta-giros,タコメータ表示,3371,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 46}]",metadata_present
03/5D,,,タイマー充電開始時刻,3393,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/5E,,,タイマー充電終了時刻,3413,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/5F,Change Display Language 5,,DISPLY表示言語切り替え,3433,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 4, ""6"": 5, ""7"": 6, ""8"": 7, ""9"": 8, ""10"": 9, ""11"": 10, ""12"": 11, ""13"": 12, ""14"": 13, ""15"": 14, ""16"": 15, ""17"": 16, ""18"": 17, ""19"": 18, ""20"": 19}",[],no_xml_route
04/01,Memory Position Link,Ligação da Posição de Memória,ﾒﾓﾘｰｼｰﾄ連動,3471,0,"{""1"": 0, ""2"": 1}","[{""source"": 149, ""menu"": 1}]",metadata_present
04/02,Steering Wheel Movement at Entry/Exit,Movimento do Volante na Entrada/Saída,ﾁﾙﾄ・ﾃﾚｽｺ跳ね上げ設定,3493,0,"{""1"": 0, ""2"": 1}","[{""source"": 149, ""menu"": 2}]",metadata_present
04/03,Default,Padrão,default,3515,2,{},[],no_xml_route
04/04,Seat Position Movement At Entry/Exit,Movimiento de Asiento en Entrada / Salida,乗降時シート位置動作,3529,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
04/05,Easy Entry/Exit,Entrada/Saída Fácil,乗降時チルト/テレスコ自動跳ね上げ/シート位置動作,3549,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3}",[],no_xml_route
04/06,Auto Seat Belt Tension,Tensão do cinto de segurança modo sport,ﾍﾞﾙﾄﾌｨｯﾄｱｼｽﾄ設定,3571,0,"{""1"": 1, ""2"": 2}","[{""source"": 0, ""menu"": 6}]",metadata_present
05/01,Customize Card Key Interlock,,ｶｽﾀﾏｲｽﾞのｶｰﾄﾞｷｰ連動,3593,0,"{""1"": 0, ""2"": 1}","[{""source"": 144, ""menu"": 40}]",metadata_present
05/02,Customize Interlock,,ｶｽﾀﾏｲｽﾞの連動,3615,0,"{""1"": 0, ""2"": 1}","[{""source"": 144, ""menu"": 40}]",metadata_present
05/03,Smart Functions,,ｽﾏｰﾄ機能,3637,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
05/04,Remote Start System On/Off,Ligar/Desligar Sistema de Partida por Controle Remoto,リモートスタート機能,3657,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 48}]",metadata_present
05/05,,,WAL,3679,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
05/06,,,ｷｰﾚｽｱﾝｻｰﾊﾞｯｸ,3699,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
05/07,,,ｷｰﾚｽﾘﾛｯｸ時間,3719,0,"{""1"": 3, ""2"": 2, ""3"": 1}",[],no_xml_route
05/08,,,ｾｷｭﾘﾃｨ機能,3740,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
05/09,,,ｾｷｭﾘﾃｨ機能,3760,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
05/0A,,,電格ﾐﾗｰのFOB/ｽﾏｰﾄ連動,3780,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
05/0B,PTG Keyless Lock Answer Back Buzzer,,PTGｷｰﾚｽｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ,3800,0,"{""1"": 1, ""2"": 0}",[],no_xml_route
05/0C,PTL Keyless Lock Answer Back Buzzer,,PTLｷｰﾚｽｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ,3820,0,"{""1"": 1, ""2"": 0}",[],no_xml_route
05/0D,PTG Keyless Lock Answer Back Hazard,,PTGｷｰﾚｽｱﾝｻｰﾊﾞｯｸﾊｻﾞｰﾄﾞ,3840,0,"{""1"": 1, ""2"": 0}",[],no_xml_route
05/0E,PTL Keyless Lock Answer Back Hazard,,PTLｷｰﾚｽｱﾝｻｰﾊﾞｯｸﾊｻﾞｰﾄﾞ,3860,0,"{""1"": 1, ""2"": 0}",[],no_xml_route
05/0F,PTG Keyless Lock Answer Back Buzzer Sound,,PTGｷｰﾚｽｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ音,3880,0,"{""1"": 1, ""2"": 0}",[],no_xml_route
05/10,PTL Keyless Lock Answer Back Buzzer Sound,,PTLｷｰﾚｽｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ音,3900,0,"{""1"": 1, ""2"": 0}",[],no_xml_route
05/11,,,PTGｷｰﾚｽｵｰﾌﾟﾝﾓｰﾄﾞ,3920,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
05/12,,,PTGｱｳﾀｰﾊﾝﾄﾞﾙｵｰﾄ,3940,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
05/13,Default,Padrão,default,3960,2,{},[],no_xml_route
05/14,Remote Start System On/Off,Ligar/Desligar Sistema de Partida por Controle Remoto,リモートスタート機能,3974,0,"{""1"": 0, ""2"": 1}","[{""source"": 144, ""menu"": 12}]",metadata_present
05/15,Door Unlock Mode,Modo de destravamento das portas,ｾﾚｸﾀﾌﾞﾙ切り替え,3996,0,"{""1"": 0, ""2"": 1}","[{""source"": 144, ""menu"": 2}]",metadata_present
05/16,Door Unlock Mode,Modo de destravamento das portas,ｾﾚｸﾀﾌﾞﾙ切り替え,4018,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 41}]",metadata_present
05/17,Keyless Access Beep Volume,Volume do bipe do acesso keyless,ｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ音量,4040,0,"{""1"": 0, ""2"": 1}","[{""source"": 144, ""menu"": 6}]",metadata_present
05/18,Keyless Access Beep Volume,Volume do bipe do acesso keyless,ｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ音量,4062,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 43}]",metadata_present
05/19,Keyless Access Light Flash,Localizar carro,ﾄﾞｱﾊﾝﾄﾞﾙ操作ｱﾝｻｰﾊﾞｯｸﾊｻﾞｰﾄﾞ,4084,0,"{""1"": 0, ""2"": 1}","[{""source"": 144, ""menu"": 7}]",metadata_present
05/1A,Keyless Access Light Flash,Localizar carro,ﾄﾞｱﾊﾝﾄﾞﾙ操作ｱﾝｻｰﾊﾞｯｸﾊｻﾞｰﾄﾞ,4106,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 44}]",metadata_present
05/1B,Keyless Access Beep,Aviso sonoro do acesso keyless,ﾄﾞｱﾊﾝﾄﾞﾙ操作ｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ,4128,0,"{""1"": 0, ""2"": 1}","[{""source"": 144, ""menu"": 8}]",metadata_present
05/1C,Keyless Access Beep,Aviso sonoro do acesso keyless,ﾄﾞｱﾊﾝﾄﾞﾙ操作ｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ,4150,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 45}]",metadata_present
06/01,CC&ASL/ACC&ASL Settings for Vehicle Speed Display Unit,,CC&ASL／ACC&ASL設定車速表示単位,4172,0,"{""1"": 2, ""2"": 1}","[{""source"": 0, ""menu"": 5}]",metadata_present
06/02,,,WELCOME LTのSMART連動,4194,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
06/03,WELCOME LT Time,,WELCOME LT時間,4214,2,{},[],no_xml_route
06/04,Interior Light Dimming Time,Tempo redução luz interior,ｲﾝﾃﾘｱﾗｲﾄ点灯時間,4228,0,"{""1"": 1, ""2"": 2, ""3"": 3}","[{""source"": 16, ""menu"": 6}, {""source"": 19, ""menu"": 6}, {""source"": 24, ""menu"": 6}]",metadata_present
06/05,Headlight Auto Off Timer,Ajuste temporiz. farol desl.,ﾍｯﾄﾞﾗｲﾄｵｰﾄｵﾌ時間,4253,0,"{""1"": 0, ""2"": 15, ""3"": 30, ""4"": 60}","[{""source"": 16, ""menu"": 8}, {""source"": 19, ""menu"": 8}, {""source"": 24, ""menu"": 8}]",metadata_present
06/06,Headlight Auto Off Timer,Ajuste temporiz. farol desl.,ﾍｯﾄﾞﾗｲﾄｵｰﾄｵﾌ時間,4279,0,"{""1"": 0, ""2"": 15, ""3"": 30, ""4"": 60}","[{""source"": 17, ""menu"": 4}]",metadata_present
06/07,Auto Light Sensitivity,Sensibilidade da luz automática,ｵｰﾄﾗｲﾄ感度設定,4303,0,"{""1"": 5, ""2"": 4, ""3"": 3, ""4"": 2, ""5"": 1}","[{""source"": 20, ""menu"": 4}]",metadata_present
06/08,Auto Light Sensitivity,Sensibilidade da luz automática,ｵｰﾄﾗｲﾄ感度設定,4328,0,"{""1"": 5, ""2"": 4, ""3"": 3, ""4"": 2, ""5"": 1}","[{""source"": 16, ""menu"": 9}]",metadata_present
06/09,Auto Light Sensitivity,Sensibilidade da luz automática,ﾗｲﾄ感度設定,4353,0,"{""1"": 5, ""2"": 4, ""3"": 3, ""4"": 2, ""5"": 1}","[{""source"": 114, ""menu"": 1}]",metadata_present
06/0A,Auto Interior Illumination Sensitivity,Sensibilidade de Iluminação Interior Automática,室内ｲﾙﾐ感度設定,4378,0,"{""1"": 5, ""2"": 4, ""3"": 3, ""4"": 2, ""5"": 1}","[{""source"": 114, ""menu"": 2}]",metadata_present
06/0B,Auto Light Sensitivity,Sensibilidade da luz automática,ﾗｲﾄ感度設定,4403,0,"{""1"": 5, ""2"": 4, ""3"": 3, ""4"": 2, ""5"": 1}","[{""source"": 116, ""menu"": 1}]",metadata_present
06/0C,Auto Interior Illumination Sensitivity,Sensibilidade de Iluminação Interior Automática,室内ｲﾙﾐ感度設定,4428,0,"{""1"": 5, ""2"": 4, ""3"": 3, ""4"": 2, ""5"": 1}","[{""source"": 116, ""menu"": 2}]",metadata_present
06/0D,,,ﾌｯﾄﾗｲﾄ ｽﾓｰﾙﾗｲﾄ連動,4453,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
06/0E,,,点灯モード設定,4473,0,"{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5}",[],no_xml_route
06/0F,,,ハンドル点灯角度,4496,0,"{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4}",[],no_xml_route
06/10,,,点灯タイマー,4518,0,"{""1"": 2, ""2"": 1, ""3"": 3}",[],no_xml_route
06/11,Default,Padrão,default,4539,2,{},[],no_xml_route
06/12,Accessory Light,Luz acessória,ｱｸｾｻﾘﾗﾝﾌﾟ点灯,4553,2,{},[],no_xml_route
06/13,Auto Light Sensitivity,Sensibilidade da luz automática,ﾗｲﾄ感度設定,4567,0,"{""1"": 5, ""2"": 4, ""3"": 3, ""4"": 2, ""5"": 1}",[],no_xml_route
06/14,Auto Interior Illumination Sensitivity,Sensibilidade de Iluminação Interior Automática,室内ｲﾙﾐ感度設定,4590,0,"{""1"": 5, ""2"": 4, ""3"": 3, ""4"": 2, ""5"": 1}","[{""source"": 24, ""menu"": 25}]",metadata_present
06/15,Auto Headlight ON With Wiper ON,Acionamento Automático dos Faróis com o Limpador Acionado,ﾜｲﾊﾟｰ連動,4615,0,"{""1"": 0, ""2"": 1}","[{""source"": 114, ""menu"": 3}]",metadata_present
06/16,Auto Headlight ON With Wiper ON,Acionamento Automático dos Faróis com o Limpador Acionado,ﾜｲﾊﾟｰ連動,4637,0,"{""1"": 0, ""2"": 1}","[{""source"": 116, ""menu"": 3}]",metadata_present
07/01,,,ｾﾚｸﾀﾌﾞﾙ切り替え,4659,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
07/02,,,ｾﾚｸﾀﾌﾞﾙ切り替え,4679,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
07/03,,,ｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ音量,4699,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
07/04,,,ｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ音量,4719,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
07/05,,,ﾄﾞｱﾊﾝﾄﾞﾙ操作ｱﾝｻｰﾊﾞｯｸﾊｻﾞｰﾄﾞ,4739,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
07/06,,,ﾄﾞｱﾊﾝﾄﾞﾙ操作ｱﾝｻｰﾊﾞｯｸﾊｻﾞｰﾄﾞ,4759,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
07/07,,,ﾄﾞｱﾊﾝﾄﾞﾙ操作ｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ,4779,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
07/08,,,ﾄﾞｱﾊﾝﾄﾞﾙ操作ｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ,4799,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
07/09,Auto Lock Start-up Buzzer,,ｵｰﾄﾛｯｸ起動ﾌﾞｻﾞｰ,4819,0,"{""1"": 0, ""2"": 1}","[{""source"": 144, ""menu"": 9}]",metadata_present
07/0A,Auto Lock Start-up Buzzer,,ｵｰﾄﾛｯｸ起動ﾌﾞｻﾞｰ,4841,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 46}]",metadata_present
07/0B,Auto Lock Answer Back Buzzer,,ｵｰﾄﾛｯｸｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ,4863,0,"{""1"": 0, ""2"": 1}","[{""source"": 144, ""menu"": 10}]",metadata_present
07/0C,Auto Lock Answer Back Buzzer,,ｵｰﾄﾛｯｸｱﾝｻｰﾊﾞｯｸﾌﾞｻﾞｰ,4885,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 47}]",metadata_present
07/0D,Unlock Sensor Prohibited Time,,ｱﾝﾛｯｸｾﾝｻ禁止時間,4907,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3}","[{""source"": 144, ""menu"": 4}]",metadata_present
07/0E,Unlock sensor Prohibited Time,,ｱﾝﾛｯｸｾﾝｻ禁止時間,4931,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3}","[{""source"": 24, ""menu"": 42}]",metadata_present
07/0F,Auto Door Lock,Trava automática de portas,自動ﾄﾞｱﾛｯｸ連動機能(AT),4955,0,"{""1"": 1, ""2"": 2, ""3"": 0}","[{""source"": 16, ""menu"": 1}, {""source"": 19, ""menu"": 1}, {""source"": 24, ""menu"": 1}]",metadata_present
07/10,Auto Door Lock,Trava automática de portas,自動ﾄﾞｱﾛｯｸ連動機能(MT),4980,0,"{""1"": 1, ""2"": 0}","[{""source"": 24, ""menu"": 17}]",metadata_present
07/11,Auto Door Lock,Trava automática de portas,自動ﾄﾞｱﾛｯｸ連動機能(MT),5002,0,"{""1"": 1, ""2"": 0}","[{""source"": 16, ""menu"": 19}, {""source"": 19, ""menu"": 19}]",metadata_present
07/12,Auto Door Unlock,Destravam autom de portas,自動ﾄﾞｱｱﾝﾛｯｸ連動機能(AT/1モーション),5025,0,"{""1"": 4, ""2"": 6, ""3"": 0}","[{""source"": 16, ""menu"": 2}, {""source"": 19, ""menu"": 2}, {""source"": 24, ""menu"": 2}]",metadata_present
07/13,Auto Door Unlock,Destravam autom de portas,自動ﾄﾞｱｱﾝﾛｯｸ連動機能(MT/1モーション),5050,0,"{""1"": 6, ""2"": 0}","[{""source"": 24, ""menu"": 18}]",metadata_present
07/14,Auto Door Unlock,Destravam autom de portas,自動ﾄﾞｱｱﾝﾛｯｸ連動機能(MT/1モーション),5072,0,"{""1"": 6, ""2"": 0}","[{""source"": 16, ""menu"": 20}, {""source"": 19, ""menu"": 20}]",metadata_present
07/15,Auto Door Unlock,Destravam autom de portas,自動ﾄﾞｱｱﾝﾛｯｸ連動機能(AT/2モーション),5095,0,"{""1"": 3, ""2"": 4, ""3"": 5, ""4"": 6, ""5"": 0}","[{""source"": 24, ""menu"": 19}]",metadata_present
07/16,Auto Door Unlock,Destravam autom de portas,自動ﾄﾞｱｱﾝﾛｯｸ連動機能(AT/2モーション),5120,0,"{""1"": 3, ""2"": 4, ""3"": 5, ""4"": 6, ""5"": 0}","[{""source"": 16, ""menu"": 21}, {""source"": 19, ""menu"": 21}]",metadata_present
07/17,Auto Door Unlock,Destravam autom de portas,自動ﾄﾞｱｱﾝﾛｯｸ連動機能(MT/2モーション),5146,0,"{""1"": 5, ""2"": 6, ""3"": 0}","[{""source"": 24, ""menu"": 20}]",metadata_present
07/18,Auto Door Unlock,Destravam autom de portas,自動ﾄﾞｱｱﾝﾛｯｸ連動機能(MT/2モーション),5169,0,"{""1"": 5, ""2"": 6, ""3"": 0}","[{""source"": 16, ""menu"": 22}, {""source"": 19, ""menu"": 22}]",metadata_present
07/19,Auto Door Unlock,Destravam autom de portas,自動ﾄﾞｱｱﾝﾛｯｸ連動機能(AT/北米2モーション),5193,0,"{""1"": 1, ""2"": 4, ""3"": 6, ""4"": 0}","[{""source"": 24, ""menu"": 23}]",metadata_present
07/1A,Auto Door Unlock,Destravam autom de portas,自動ﾄﾞｱｱﾝﾛｯｸ連動機能(AT/北米2モーション),5217,0,"{""1"": 1, ""2"": 4, ""3"": 6, ""4"": 0}","[{""source"": 16, ""menu"": 25}]",metadata_present
07/1B,Auto Door Unlock,Destravam autom de portas,自動ﾄﾞｱｱﾝﾛｯｸ連動機能(MT/北米2モーション),5241,0,"{""1"": 1, ""2"": 6, ""3"": 0}","[{""source"": 24, ""menu"": 24}]",metadata_present
07/1C,Auto Door Unlock,Destravam autom de portas,自動ﾄﾞｱｱﾝﾛｯｸ連動機能(MT/北米2モーション),5264,0,"{""1"": 1, ""2"": 6, ""3"": 0}","[{""source"": 16, ""menu"": 26}]",metadata_present
07/1D,Key and Remote Unlock Mode,Modo destravamento via chave e remoto,ﾄﾞｱﾛｯｸ動作,5287,0,"{""1"": 1, ""2"": 0}","[{""source"": 16, ""menu"": 3}, {""source"": 19, ""menu"": 3}, {""source"": 24, ""menu"": 3}]",metadata_present
07/1E,Sunroof Key Off Timer Time,,ｻﾝﾙｰﾌ ｷｰｵﾌﾀｲﾏｰ時間,5311,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 14}]",metadata_present
07/1F,Sunroof Key Off Timer Time,,ｻﾝﾙｰﾌ ｷｰｵﾌﾀｲﾏｰ時間,5333,0,"{""1"": 0, ""2"": 1}","[{""source"": 16, ""menu"": 16}]",metadata_present
07/20,Power Windows (Sunroof) Key Cylinder Interlock,Interconexão do cilindro da chave das janelas elétricas (teto solar),ﾊﾟﾜｰｳｨﾝﾄﾞｳｷｰｼﾘﾝﾀﾞｰ連動,5355,0,"{""1"": 0, ""2"": 1}","[{""source"": 48, ""menu"": 4}]",metadata_present
07/21,Power Windows (Sunroof) Key Cylinder Interlock,,ﾊﾟﾜｰｳｨﾝﾄﾞｳ(ｻﾝﾙｰﾌ)ｷｰｼﾘﾝﾀﾞｰ連動,5377,0,"{""1"": 1, ""2"": 0}",[],no_xml_route
07/22,Power Windows (Sunroof) Keyless Interlock,Interconexão keyless de janelas elétricas (teto solar),ﾊﾟﾜｰｳｨﾝﾄﾞｳｷｰﾚｽ連動,5397,0,"{""1"": 0, ""2"": 1}","[{""source"": 48, ""menu"": 5}]",metadata_present
07/23,Power Windows (Sunroof) Keyless Interlock,,ﾊﾟﾜｰｳｨﾝﾄﾞｳ(ｻﾝﾙｰﾌ)ｷｰﾚｽ連動,5419,0,"{""1"": 1, ""2"": 0}",[],no_xml_route
07/24,,,ﾊﾟﾜｰｳｨﾝﾄﾞｳ ｷｰｵﾌﾀｲﾏｰ時間,5439,0,"{""1"": 0, ""2"": 2, ""3"": 1}","[{""source"": 24, ""menu"": 16}]",metadata_present
07/25,,,ﾊﾟﾜｰｳｨﾝﾄﾞｳ ｷｰｵﾌﾀｲﾏｰ時間,5462,0,"{""1"": 0, ""2"": 2, ""3"": 1}","[{""source"": 16, ""menu"": 18}]",metadata_present
07/26,,,ﾊﾟﾜｰｳｨﾝﾄﾞｳ(ｻﾝﾙｰﾌ) ｷｰｵﾌﾀｲﾏｰ時間,5485,0,"{""1"": 0, ""2"": 1, ""3"": 2}",[],no_xml_route
07/27,,,ﾊﾟﾜｰｳｨﾝﾄﾞｳ ｷｰｵﾌﾀｲﾏｰ時間,5506,0,"{""1"": 1, ""2"": 2}","[{""source"": 24, ""menu"": 22}]",metadata_present
07/28,,,ﾊﾟﾜｰｳｨﾝﾄﾞｳ ｷｰｵﾌﾀｲﾏｰ時間,5528,0,"{""1"": 1, ""2"": 2}","[{""source"": 16, ""menu"": 24}]",metadata_present
07/29,,,ﾊﾟﾜｰｳｨﾝﾄﾞｳ ｷｰｵﾌﾀｲﾏｰ時間,5550,0,"{""1"": 1, ""2"": 2, ""3"": 3}","[{""source"": 48, ""menu"": 6}]",metadata_present
07/2A,,,ﾊﾟﾜｰｳｨﾝﾄﾞｳ ｷｰｵﾌﾀｲﾏｰ時間,5573,0,"{""1"": 1, ""2"": 2}",[],no_xml_route
07/2B,,,ﾊﾟﾜｰｳｨﾝﾄﾞｳ ｷｰｵﾌﾀｲﾏｰ時間,5593,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 21}]",metadata_present
07/2C,,,ﾊﾟﾜｰｳｨﾝﾄﾞｳ ｷｰｵﾌﾀｲﾏｰ時間,5615,0,"{""1"": 0, ""2"": 1}","[{""source"": 16, ""menu"": 23}]",metadata_present
07/2D,Default,Padrão,default,5637,2,{},[],no_xml_route
07/2E,,,ﾊﾟﾜｰｳｨﾝﾄﾞｳ ｷｰｵﾌﾀｲﾏｰ時間,5651,0,"{""1"": 1, ""2"": 3}",[],no_xml_route
07/2F,Power Slide Door Keyless Open Mode,Abertura da porta deslizante via keyless,Power Slide Door Keyless Open Mode,5671,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
07/30,Walk Away Auto Lock,Travamento Automático de Afastamento,降車時ドアオートロック機能,5691,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
07/31,Walk Away Auto Lock,Travamento Automático de Afastamento,降車時ドアオートロック機能,5711,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
07/32,Keyless Lock Answer Back,Reconhecimento de travas via keyless,ｷｰﾚｽｱﾝｻｰﾊﾞｯｸ,5731,0,"{""1"": 0, ""2"": 1}","[{""source"": 16, ""menu"": 4}, {""source"": 19, ""menu"": 4}, {""source"": 24, ""menu"": 4}]",metadata_present
07/33,Security Relock Timer,Tempor retravam segurança,ｷｰﾚｽﾘﾛｯｸ時間,5755,0,"{""1"": 3, ""2"": 2, ""3"": 1}","[{""source"": 16, ""menu"": 5}, {""source"": 19, ""menu"": 5}, {""source"": 24, ""menu"": 5}]",metadata_present
07/34,Security Alarm,Alarme de Segurança,ｾｷｭﾘﾃｨ機能,5780,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 15}]",metadata_present
07/35,Security Alarm,Alarme de Segurança,ｾｷｭﾘﾃｨ機能,5802,0,"{""1"": 0, ""2"": 1}","[{""source"": 16, ""menu"": 17}, {""source"": 19, ""menu"": 17}]",metadata_present
07/36,Walk Away Auto Lock,Travamento Automático de Afastamento,WAL,5825,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 49}]",metadata_present
07/37,Auto Folding Door Mirror,Retrovisor lateral com recolhimento automático,電格ﾐﾗｰのFOB/ｽﾏｰﾄ連動,5847,0,"{""1"": 0, ""2"": 1}","[{""source"": 48, ""menu"": 7}]",metadata_present
08/01,,,ﾜｲﾊﾟｰ連動,5869,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
08/02,,,ﾜｲﾊﾟｰ連動,5889,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
08/03,Front Wiper Action,Configuração do limpador do para-brisas,ﾌﾛﾝﾄﾜｲﾊﾟｰ動作,5909,0,"{""1"": 1, ""2"": 0}","[{""source"": 24, ""menu"": 9}]",metadata_present
08/04,Front Wiper Action,Configuração do limpador do para-brisas,ﾌﾛﾝﾄﾜｲﾊﾟｰ動作,5931,0,"{""1"": 1, ""2"": 0}","[{""source"": 16, ""menu"": 10}, {""source"": 19, ""menu"": 10}]",metadata_present
08/05,Front Wiper Action,Configuração do limpador do para-brisas,ﾌﾛﾝﾄﾜｲﾊﾟｰ動作,5954,0,"{""1"": 1, ""2"": 0}","[{""source"": 118, ""menu"": 10}]",metadata_present
08/06,Front Wiper Action,Configuração do limpador do para-brisas,ﾌﾛﾝﾄﾜｲﾊﾟｰ動作,5976,0,"{""1"": 1, ""2"": 0}","[{""source"": 17, ""menu"": 5}]",metadata_present
08/07,Wiper Action,Ajuste do limpador do para-brisas,ｵｰﾄﾜｲﾊﾟｰ動作,5998,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 16, ""menu"": 7}, {""source"": 19, ""menu"": 7}, {""source"": 24, ""menu"": 7}]",metadata_present
08/08,Wiper Action,Ajuste do limpador do para-brisas,ｵｰﾄﾜｲﾊﾟｰ動作,6023,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 118, ""menu"": 7}]",metadata_present
08/09,Wiper Action,Ajuste do limpador do para-brisas,ｵｰﾄﾜｲﾊﾟｰ動作,6046,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 17, ""menu"": 1}]",metadata_present
08/0A,Wiper Washer Interlock,Interconexão do esguichador do para-brisas,ﾌﾛﾝﾄﾜｲﾊﾟｰ　ｳｫｯｼｬｰ連動,6069,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 10}]",metadata_present
08/0B,Wiper Washer Interlock,Interconexão do esguichador do para-brisas,ﾌﾛﾝﾄﾜｲﾊﾟｰ　ｳｫｯｼｬｰ連動,6091,0,"{""1"": 0, ""2"": 1}","[{""source"": 16, ""menu"": 11}, {""source"": 19, ""menu"": 11}]",metadata_present
08/0C,Wiper Washer Interlock,Interconexão do esguichador do para-brisas,ﾌﾛﾝﾄﾜｲﾊﾟｰ　ｳｫｯｼｬｰ連動,6114,0,"{""1"": 0, ""2"": 1}","[{""source"": 118, ""menu"": 11}]",metadata_present
08/0D,Wiper Washer Interlock,,ﾌﾛﾝﾄﾜｲﾊﾟｰ　ｳｫｯｼｬｰ連動,6136,0,"{""1"": 0, ""2"": 1}","[{""source"": 17, ""menu"": 2}]",metadata_present
08/0E,Wiper Action on Vehicle Startup,Ação do limp. no arranque do veículo,ﾌﾛﾝﾄﾜｲﾊﾟｰ　発進時動作,6158,0,"{""1"": 0, ""2"": 1}","[{""source"": 24, ""menu"": 11}]",metadata_present
08/0F,Wiper Action on Vehicle Startup,Ação do limp. no arranque do veículo,ﾌﾛﾝﾄﾜｲﾊﾟｰ　発進時動作,6180,0,"{""1"": 0, ""2"": 1}","[{""source"": 16, ""menu"": 12}, {""source"": 19, ""menu"": 12}]",metadata_present
08/10,Wiper Action on Vehicle Startup,Ação do limp. no arranque do veículo,ﾌﾛﾝﾄﾜｲﾊﾟｰ　発進時動作,6203,0,"{""1"": 0, ""2"": 1}","[{""source"": 118, ""menu"": 12}]",metadata_present
08/11,Wiper Action on Vehicle Startup,,ﾌﾛﾝﾄﾜｲﾊﾟｰ　発進時動作,6225,0,"{""1"": 0, ""2"": 1}","[{""source"": 17, ""menu"": 3}]",metadata_present
