category/id,title,title_pt,original_description,xml_line,data_type,api_to_encoded_values,routes,status
02/24,"Set Parking Course
(Parallel Right Parking. Start Point.Y)","Configurar rota de estacionamento (Est.
paralelo à direita. Ponto de início.Y)",Set Parking course(Parallel Right Parking. Start Point.Y),730,1,{},[],no_xml_route
02/25,"Set Parking Course
(Parallel Right Parking. Start Point.THETA)","Configurar rota de estacionamento (Est.
paralelo à direita. Ponto de início.TETA)",Set Parking course(Parallel Right Parking. Start Point.THETA),747,1,{},[],no_xml_route
02/26,"Set Parking Course
(Parallel Left Parking. Start Point.X)","Configurar rota de estacionamento
(Est. paralelo à esquerda. Ponto de
início.X)",Set Parking course(Parallel Left Parking. Start Point.X),764,1,{},[],no_xml_route
02/27,"Set Parking Course
(Parallel Left Parking. Start Point.Y)","Configurar rota de estacionamento
(Est. paralelo à esquerda. Ponto de
início.Y)",Set Parking course(Parallel Left Parking. Start Point.Y),781,1,{},[],no_xml_route
02/28,"Set Parking Course
(Parallel Left Parking. Start Point.THETA)","Configurar rota de estacionamento (Est.
paralelo à esquerda. Ponto de
início.TETA)",Set Parking course(Parallel Left Parking. Start Point.THETA),798,1,{},[],no_xml_route
02/29,Clear Parking Course,Limpar rota de estacionamento,Clear Parking course,815,0,"{""1"": 16, ""2"": 32, ""3"": 48, ""4"": 64}",[],no_xml_route
02/2A,Night Vision: Guideline Display,,ﾅｲﾄﾋﾞｼﾞｮﾝ ｶﾞｲﾄﾞ線表示,837,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
02/2B,Night Vision: Automatic Video Switching,,ﾅｲﾄﾋﾞｼﾞｮﾝ 自動映像切替え,857,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
02/2C,Night Vision: Video Brightness Setting,,ﾅｲﾄﾋﾞｼﾞｮﾝ 映像明るさ設定,877,1,{},[],no_xml_route
02/2D,Night Vision: Video Contrast Setting,,ﾅｲﾄﾋﾞｼﾞｮﾝ 映像ｺﾝﾄﾗｽﾄ設定,894,1,{},[],no_xml_route
02/2E,Safe Driving Coach ON/OFF Function,,安全運転コーチングON/OFF機能,911,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
02/2F,"Safe Driving Coach
Individual Functions ON/OFF Function",,安全運転コーチング機能別ON/OFF機能,931,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
02/30,,,安全運転コーチング乗車中情報提供地点別ON/OFF機能,951,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
02/31,Blind Spot Info ON/OFF,Inform. dos pontos cegos lig/desl,BSIシステムON/OFF,971,0,"{""1"": 0, ""2"": 1}","[{""source"": 159, ""menu"": 1}]",metadata_present
02/32,Blind Spot Info Brightness,Brilho das informações de pontos cegos,BSIシステムインジケータ輝度変更,993,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 159, ""menu"": 2}]",metadata_present
02/33,"BSI System
Alarm ON/OFF",,BSIシステム警報音ON/OFF,1016,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 159, ""menu"": 3}]",metadata_present
02/34,Blind Spot Info,Informações de Ponto Cego,BSIシステムインジケータ及び警報音ON/OFF,1039,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 159, ""menu"": 4}]",metadata_present
02/35,"CTM (BSI Radar Scheme)
System ON/OFF",,CTM(BSIレーダ方式)システムON/OFF,1062,0,"{""1"": 0, ""2"": 1}","[{""source"": 159, ""menu"": 9}]",metadata_present
